1,4,4,32
1,18,4,32
1,23,0,0
1,23,1,31
1,23,2,2
1,23,4,32
1,23,6,27
1,24,1,31
1,24,4,32
1,24,6,27
1,24,7,31
1,24,8,27
1,24,11,30
1,25,0,0
1,28,1,31
1,28,2,2
1,28,3,6
1,28,4,32
1,28,6,27
2,1,4,12
2,3,4,17
2,3,4,18
2,14,4,1
2,14,4,2
2,14,4,3
2,16,4,13
2,20,4,36
2,21,4,12
2,21,4,13
2,22,1,23
2,22,4,3
2,22,4,24
2,22,4,25
2,22,7,2
2,22,7,23
2,22,11,1
2,22,11,22
2,23,0,0
2,24,1,11
2,24,4,10
2,24,4,11
2,24,4,12
2,24,4,13
2,24,4,32
2,24,6,10
2,24,7,31
2,24,8,27
2,24,10,4
2,24,10,5
2,24,10,6
2,24,11,30
2,25,1,36
2,25,4,35
2,26,4,33
2,26,4,36
2,26,4,37
2,26,7,32
