1,3,1,31
1,3,2,2
1,3,2,3
1,3,3,6
1,3,4,32
1,3,6,27
1,7,4,1
1,8,1,31
1,8,2,2
1,8,2,3
1,8,3,6
1,8,4,1
1,8,4,32
1,8,6,27
1,13,1,31
1,13,2,2
1,13,3,6
1,13,4,32
1,13,6,27
1,15,1,31
1,15,2,2
1,15,2,3
1,15,3,6
1,15,4,32
1,15,6,27
1,20,1,31
1,20,2,2
1,20,2,3
1,20,4,1
1,20,4,32
1,20,6,27
2,1,7,25
2,1,7,26
2,1,7,27
2,1,7,28
2,1,8,27
2,1,8,28
2,1,11,24
2,1,11,25
2,1,11,26
2,1,11,27
2,1,11,28
2,2,7,33
2,2,7,34
2,2,7,35
2,2,7,36
2,2,8,29
2,2,8,30
2,2,8,31
2,2,8,32
2,2,11,32
2,2,11,33
2,2,11,34
2,2,11,35
2,19,4,27
2,22,4,26
2,22,4,27
2,25,1,14
2,25,1,15
2,25,9,17
2,28,4,34
2,28,4,35
3,13,1,38
3,14,1,16
3,14,1,17
3,14,1,18
3,14,1,19
3,14,1,20
3,14,1,21
3,14,7,17
3,14,7,18
3,14,7,19
3,14,7,20
3,14,7,21
3,14,11,16
3,14,11,18
3,14,11,19
3,14,11,20
3,20,1,26
3,23,1,17
3,23,1,18
3,23,7,17
3,23,7,18
3,23,11,17
3,24,1,38
3,24,1,39
3,24,7,38
3,24,7,39
3,24,11,38
3,27,1,5
3,27,1,6
3,27,1,7
3,27,1,8
3,27,1,9
3,27,1,10
3,27,1,11
3,27,1,12
3,27,1,13
3,27,7,6
3,27,7,7
3,27,7,8
3,27,7,9
3,27,7,10
3,27,7,11
3,27,7,12
3,27,7,13
3,27,11,5
3,27,11,7
3,27,11,8
3,27,11,9
3,27,11,10
3,27,11,11
3,27,11,12
3,28,1,1
3,28,1,2
3,28,1,3
3,28,1,4
3,28,1,5
3,28,7,2
3,28,7,3
3,28,7,4
3,28,7,5
3,28,11,1
3,28,11,3
3,28,11,4
