date,stock_name,stock_code,title,link,content
2000-08-01,東洋証券株式会社,8614,東洋証券(株)に対する検査結果に基づく勧告について,https://www.fsa.go.jp/sesc/news/c_2000/2000/20000801_2.html,東洋証券(株)に対する検査結果に基づく勧告について 平成１２年８月１日 証券取引等監視委員会 １ ．勧告の内容 関東財務局長が東洋証券株式会社（東京都中央区日本橋、資本金１１３億円、役職員８３８名）を検査した結果、下記のとおり法令違反の事実が認められたので、本日、証券取引等監視委員会は、金融再生委員会及び金融庁長官に対して、金融再生委員会設置法第３１条第１項の規定に基づき、行政処分及びその他の適切な措置を講ずるよう勧告した。 ２ ．事実関係 ○　一定の配当の表示　東洋証券株式会社は、名古屋支店長の関与により、平成１１年７月下旬から同１２年４月２１日までの間、複数の銘柄の株式について、不特定かつ多数の者に買付勧誘を行うに際し、当該銘柄の株式に関し毎年一定額の配当金が供与される旨の表示を行った。 上記行為は、証券取引法第１７１条に規定する「有価証券の不特定多数者向け勧誘等に際し、不特定かつ多数の者に対して、当該有価証券に関し一定の期間につき、一定の額の金銭の供与が行われる旨の表示を行う行為」に該当すると認められる。
2000-09-12,おいて準用する証券会社,,ウェストエルビー・セキュリティーズ・パシフィック・リミテッド東京支店に対する検査結果に基づく勧告について,https://www.fsa.go.jp/sesc/news/c_2000/2000/20000912.html,ウェストエルビー・セキュリティーズ・ パシフィック・リミテッド東京支店に対する 検査結果に基づく勧告について 平成１２年９月１２日 証券取引等監視委員会 １ ．勧告の内容 証券取引等監視委員会は、ウェストエルビー・セキュリティーズ・パシフィック・リミテッド東京支店（東京都千代田区内幸町、東証・大証会員、役職員約１１０名、以下「ウエストエルビー証券」という）を検査した結果、下記のとおり法令違反の事実が認められたので、本日、金融再生委員会及び金融庁長官に対して、金融再生委員会設置法第３１条第１項の規定に基づき、行政処分を行うよう勧告した。 ２ ．事実関係 ○　特別の利益を提供することを約して勧誘する行為 ウェストエルビー証券は、複数の法人顧客（保険会社）からソルベンシー・マージン比率向上のための劣後ローンの供与の斡旋依頼を受けたが、劣後ローン融資を行う金融機関が見つからなかった。 このため、ウェストエルビー証券は、平成１０年３月及び平成１１年３月、支店長（当時）、金融商品部部長（当時）等の関与により、当該顧客に対し、当該顧客が金融機関から劣後ローンを借り入れると同時に、当該劣後ローンの信用リスクに元本等の支払が連動する債券を顧客が取得することにより、劣後ローンの信用リスクを顧客自身に還流させることとなるセットの取引スキームを提示した。 当該取引スキームは、実質的には、当該劣後ローンの借入れが、当該顧客の保険金支払能力の充実にはつながらず、当該顧客のソルベンシー・マージン比率を見かけ上嵩上げすることとなるものであるが、ウェストエルビー証券は、当該スキームに基づいて取引を実行することを約して、有価証券取引の勧誘を行ったものである。 上記行為は、外国証券業者に関する法律第１４条第１項 （平成１０年１１月３０日以前の行為については、同年法律第１０７号による改正前の第１７条第１項） において準用する証券取引法第４２条第１項第９号 （平成１０年１１月３０日以前の行為については、同年法律第１０７号による改正前の第５０条第１項第６号） に基づく外国証券業者に関する総理府令 （平成１２年総理府令第６５号による改正前のもの） 第２４条第１５項 （平成１０年１１月３０日以前の行為については、同年総理府令・大蔵省令第３７号による改正前の第２１条第４項） において準用する証券会社の行為規制等に関する総理府令 （平成１２年総理府令第６５号による改正前のもの） 第４条第２号 （平成１０年１１月３０日以前の行為については、同年総理府令・大蔵省令第３３号による改正前の第２条第２号） に規定する「有価証券の売買その他の取引につき、顧客に対して特別の利益を提供することを約して勧誘する行為」に該当すると認められる。
2000-10-06,エイチ・アイ・エス協立証券株式会社,,エイチ・アイ・エス協立証券（株）に対する検査結果に基づく勧告について,https://www.fsa.go.jp/sesc/news/c_2000/2000/20001006.html,エイチ・アイ・エス協立証券（株）に対する 検査結果に基づく勧告について 平成１２年１０月６日 証券取引等監視委員会 １ ．勧告の内容 関東財務局長がエイチ・アイ・エス協立証券株式会社（東京都中央区日本橋、資本金１８億円、役職員２００名）を検査した結果、下記のとおり法令違反の事実が認められたので、本日、証券取引等監視委員会は、金融再生委員会及び金融庁長官に対して、金融再生委員会設置法第３１条第１項の規定に基づき、行政処分を行うよう勧告した。 ２ ．事実関係 エイチ・アイ・エス協立証券（株）は、平成１２年２月２２日、前日限りで有効期限が切れた株式の委託注文が、株式取引に係るシステム障害により当日再発注され、その一部が約定成立したため、当該取引を自己勘定に付け替えるという処理を行った。 しかし、ミスにより、当該付け替えた取引の中には、前日インターネット取引により多数の顧客から受託した株式の委託注文で、当日市場において正規に約定成立した取引が含まれていた。 エイチ・アイ・エス協立証券（株）は、翌２３日以降、当該付替えが行われたインターネット取引顧客の一部の顧客から苦情が寄せられ、苦情を寄せた顧客の取引については市場に再発注し、その約定価格と当初の約定価格との差額を支払った。しかしながらその際、当該苦情の発生原因を十分究明していなかったことから、苦情を寄せなかったインターネット取引顧客の取引については、調査を行うなど必要な措置をとらずに放置していた。 このためエイチ・アイ・エス協立証券（株）は、苦情を寄せなかった多数の顧客について、委託注文が市場で正規に成立したにもかかわらず、取引報告書を交付しなかった。 また、エイチ・アイ・エス協立証券（株）は、インターネット取引画面に、取引顧客の約定結果や預り残高等の情報が常時表示しているが、これらの顧客については、翌２３日以降の取引画面に取引結果が反映しておらず、事実と異なる内容の情報を表示した。 (1)　取引報告書の不交付 エイチ・アイ・エス協立証券（株）は、平成１２年２月２１日にインターネット取引により多数の顧客から受託した株式の委託注文について、翌２２日、市場において取引が成立したにもかかわらず、取引報告書を交付しなかった。 上記行為は、証券取引法第２０５条の２第４号に規定する「取引報告書を交付しない行為」に該当すると認められる。 (2)　有価証券の売買その他の取引に関し、虚偽の表示をする行為 エイチ・アイ・エス協立証券（株）は、平成１２年２月２３日以降、インターネット取引を行っている多数の顧客に対し、当該顧客の預り残高等について、事実と異なる内容の情報をインターネット取引画面上に表示した。 上記行為は、証券取引法第４２条第１項第９号に基づく証券会社の行為規制等に関する総理府令（平成１２年６月３０日以前の行為は、証券会社の行為規制等に関する命令）第４条第１号に規定する「有価証券の売買その他の取引に関し、虚偽の表示をする行為」に該当すると認められる。 昨年来、インターネット取引を行う証券会社が急増しているが、インターネット取引はこれまでなかった新たな取引手段であり、非対面性、非書面性等のインターネット取引の特性もあることから、これらの証券会社は、このような特性に十分配慮した内部管理体制を構築し、機能させる必要がある。 今回の問題は、インターネット取引の非対面性という特性に十分配慮していないことに起因しているものであり、当社は、上記のような観点から内部管理体制が十分機能していないことに問題があると認められる。
2000-08-01,大中証券株式会社,,大中証券(株)に対する検査結果に基づく勧告について,https://www.fsa.go.jp/sesc/news/c_2000/2000/20000801_1.html,大中証券(株)に対する検査結果に基づく勧告について 平成１２年８月１日 証券取引等監視委員会 １ ．勧告の内容 近畿財務局長が大中証券株式会社（大阪市中央区、資本金６４４百万円、大証会員、役職員５１名）を検査した結果、下記のとおり法令違反の事実が認められたので、本日、証券取引等監視委員会は、金融再生委員会及び金融庁長官に対して、金融再生委員会設置法第３１条第１項の規定に基づき、行政処分及びその他の適切な措置を講ずるよう勧告した。 ２ ．事実関係 (1)　向い呑み及び呑行為 大中証券(株)は、第一営業部部付部長（当時）の関与により、平成１１年４月１２日、特定の銘柄の上場株式について、複数の顧客からの買付けの委託注文を受託しながら、証券取引所の会員に取り次ぐことなく、自己が相手方となって当該株式の売買を成立させた。 上記行為は、証券取引法第３９条に規定する「有価証券に関する同一の売買について、その本人となると同時に、その相手方の取次ぎをする者となる行為」及び同法第１２９条第１項に規定する「会員に対する売買の委託を取次ぎすることを引き受けた者が、会員に対しその取次ぎをしないで、自己が相手方となって売買を成立せしめる行為」に該当すると認められる。 (2)　有価証券の売買その他の取引に関し、重要な事項につき誤解を生ぜしめるべき表示をする行為 大中証券(株)は、第一営業部部付部長（当時）の関与により、平成１１年４月１２日、当社が一定の価格で買い付けた特定の銘柄の株式について、当該一定の価格で顧客に付け替えるため、複数の顧客に対し、真実は当該一定の価格よりも安い指値の売注文が市場に出されており、顧客が当該一定の価格よりも安い価格で買付けを行うことが可能であるにもかかわらず、ことさらに当該一定の価格の売注文が市場に出されている旨を伝え、顧客が当該一定の価格での買注文を出さなければ、市場での買付けができないかのような誤解を与える説明を行った。 上記行為は、証券取引法第４２条第１項第９号に基づく証券会社の行為規制等に関する命令第４条第１号に規定する「有価証券の売買その他の取引に関し、重要な事項につき誤解を生ぜしめるべき表示をする行為」に該当すると認められる。 (3)　特別の利益を提供することを約して勧誘する行為 大中証券(株)は、梅田支店長（当時）の関与により、平成９年６月２６日、顧客に対し、当社があらかじめ買い付けていた特定の銘柄の株式について、当該買付価格で当該顧客に付け替えることにより、当該顧客が時価よりも安い価格で当該銘柄の株式を買い付けることを可能にすることを約束して、当該銘柄の株式の買付けを勧誘した。 上記行為は、証券取引法（平成１０年法律第１０７号（平成１０年１２月１日施行）施行前のもの）第５０条第１項第６号に基づく証券会社の健全性の準則等に関する省令（平成１０年総理府令・大蔵省令第３３号（平成１０年１２月１日施行）施行前のもの）第２条第２号に規定する「特別の利益を提供することを約して勧誘する行為」に該当すると認められる。
2000-09-28,日本債券信用銀行,,証券取引等監視委員会の事務処理状況の公表について,https://www.fsa.go.jp/sesc/reports/n_11/n_11.html,平成11年度版年次公表 証券取引等監視委員会の事務処理状況の公表について 平成１２年９月２８日 証券取引等監視委員会 １．事務処理状況の公表 証券取引等監視委員会（以下「監視委員会」という。）の活動状況については、金融再生委員会設置法第34条の規定に基づき、本年は、平成11年７月１日から12年６月30日までの期間における事務の処理状況を９月28日に「証券取引等監視委員会の活動状況」として公表した。本公表は、監視委員会が発足後、８回目となる。 なお、本年７月１日に金融庁が発足したが、監視委員会は、従来の体制のまま金融庁に移管された。 ２．全般的な評価 金融システムの抜本的な改革が進むなか、クロスボーダー取引の一層の拡大、国内外における市場間競争の活発化、さらに情報通信技術の飛躍的な発展に伴い、インターネットを利用した取引も増大してきている。このような証券市場を取り巻く環境の変化のなかで、顧客に損失を表面化させないことを約束して複雑なデリバティブを組み込んだ、いわゆる「飛ばし類似金融商品」の取引の勧誘を行ったり、有価証券の募集のため偽計を用いたりする行為など、従来とは異なる違法行為が摘発されており、監視委員会が対象とすべき取引は複雑化・広域化してきている。こうした状況のもと、監視委員会の役割は、ますます大きくなってきている。 なお、本年から、監視委員会の平成12検査事務年度の検査基本方針及び検査基本計画についても資料編に掲載し、公表することとした。 ３．概要 (1) 犯則事件の調査・告発 犯則事件の調査の結果、有価証券報告書等の虚偽記載につき３件、偽計販売につき２件、内部者取引につき１件、相場操縦につき１件、計７件を証取法違反の罪に該当するとして告発を行った。その主なものの概要は次のとおりである。 ○ 日本債券信用銀行事件（有価証券報告書虚偽記載） (株)日本債券信用銀行の代表取締役会長、代表取締役頭取、代表取締役副頭取及び役員２人は、共謀の上、平成10年３月期において、取立不能と見込まれる貸出金について適正な引当・償却を行わず、当期未処理損失を過小に圧縮するなど、重要な事項につき虚偽の記載のある有価証券報告書を提出した。 ○ ヒューネット事件（相場操縦） 行為者２名は、共謀の上、ヒューネット株式につき、借名口座を含む８名義を用いて、同株式の売買取引が繁盛であると誤解させる等の目的で、仮装売買を反復継続し、相場を変動させるべき一連の売買取引を行い、株価を高騰させるなど相場操縦を行った。 ○ クレスベール証券事件（偽計販売） クレスベール証券の代表取締役会長は、プリンストン債の月間運用成果報告書の時価資産残高が過大に粉飾され、あるいは、約定どおりに期限前償還がされないおそれが高いことを認識しながら、プリンストン債の販売に当たり、安全に運用されているかのごとく虚偽の説明をし、有価証券の売買のため偽計を用いた。 (2) 検査 検査については、本事務年度中に国内証券会社72社、外国証券会社14社に対して検査に着手した。 本事務年度において検査が終了したものは、前期繰越分を含め、国内証券会社79社、外国証券会社15社となっている（合計94社）。このうち80社に問題点が認められた（問題点の割合85.1％）。 (3) 勧告 金融再生委員会及び金融監督庁長官に対して、検査結果に基づいて重大な法令違反として37件(うち財務局分25件)の勧告を行った。事案の内容別内訳は次のとおり。 会社 個人 ○ 向い呑み及び呑行為 ２社 １人 ○ 取引報告書の不交付又は虚偽の取引報告書の交付 ３社 ３人 ○ 取引一任勘定取引の契約を締結する行為 ２社 34人 ○ 有価証券の売買に関し虚偽の表示をする行為等 １社 ４人 ○ 特別の利益を提供することを約して勧誘する行為 ４社 ４人 ○ 作為的相場を形成させるべき売買をする行為 ２社 ５人 ○ 作為的相場が形成されることを知りながら売買の受託をする行為 ３社 ４人 ○ 投機的利益の追求を目的とした有価証券の売買取引 － ５人 ○ 損失を補てんするため財産上の利益を提供する行為等 ４社 11人 ○ 通常の取引条件と著しく異なる条件での親法人等との取引 ２社 － ○ 有価証券の募集のため偽計を用いる行為 １社 １人 ○ その他 ６社 ７人 (4) 建議 有価証券報告書の虚偽記載に関する犯則事件の調査及び証券会社の検査を行った結果、問題点が認められたので、次の点について必要かつ適切な措置を講じるよう大蔵大臣及び金融監督庁長官に対して建議を行った。 ○ 銀行業等の財務諸表の注記事項に関する建議 ○ 証券会社の営業姿勢に関する建議 (5) 取引審査 本事務年度中に行った審査件数は、株価が急騰するなど不自然な動きをしたもの等の価格形成に関するもの78件、投資者の判断に著しい影響を及ぼすと思われる情報の公開により株価が大きく変動したもの等の内部者取引に関するもの236件、その他風説の流布等に関するもの12件、合計326件となっている。 (6) その他の活動状況 近年のインターネットの普及により、国際的に連携した監視活動が重要であるとの考えから、証券監督者国際機構（IOSCO)が平成12年３月28日に行った「インターネット・サーフ・デイ」に監視委員会も参加し、国際的に連携して一斉にインターネット上の証券取引に係る不正行為の実態把握を行った。 また、ホームページを利用して相場の変動を意図した悪質な情報が流される可能性が増大しているため「インターネット巡回監視システム（ＩＰＳ）」を開発し、効率的な監視に努めている。 その他、新たな市場の開設に対応した取り組みを行うなど取引の公正性の確保に努めている。 なお、「証券取引等監視委員会の活動状況」は、監視委員会事務局のほか、各財務局等において閲覧することができる。また、９月28日17時から監視委員会のホームページ、10月２日には官報に掲載する予定である。 「委員会の活動状況」（一覧表） へ　(PDF/6.5KB) 「証券取引等監視委員会の活動状況」の本文へ 本文 （PDF/390KB） 付属資料 （PDF/474KB）
2000-06-21,金吉証券株式会社,,金吉証券(株)に対する検査結果に基づく勧告について,https://www.fsa.go.jp/sesc/news/c_2000/2000/20000621_2.html,金吉証券(株)に対する検査結果に基づく勧告について 平成１２年６月２１日 証券取引等監視委員会 １ ．勧告の内容 近畿財務局長が金吉証券株式会社（大阪府大阪市北区、資本金４億円、大阪会員、役職員約７０名）を検査した結果、下記のとおり法令違反の事実が認められたので、本日、証券取引等監視委員会は、金融再生委員会及び金融監督庁長官に対して、金融再生委員会設置法第２９条第１項の規定に基づき、行政処分を行うよう勧告した。 ２ ．事実関係 ○　政令で定めるところに違反した空売り 金吉証券(株)は、平成１０年１２月１日から同１２年３月１日までの間、 (1)　取引所有価証券市場において自己の計算により多数回行った株式の空売りについて、証券取引所に対し、空売りであることを明らかにしなかった。 上記行為は、証券取引法施行令第２６条の３第１項に違反すると認められる。 (2)　取引所有価証券市場において、証券取引所が直近に公表した価格に満たない価格で、自己の計算による株式の空売りを多数回行った。 上記行為は、同施行令第２６条の４第１項に違反すると認められる。 上記(1)及び(2)の行為は、証券取引法第１６２条第１項第１号に規定する「政令で定めるところに違反して、有価証券を有しないでその売付けをする行為」に該当すると認められる。 なお、上記のほか、当該会社の使用人が取引一任勘定取引の契約の締結を行っていたので、適切な措置を講ずるよう併せて勧告した。
2000-06-21,二浪証券株式会社,,二浪証券(株)に対する検査結果に基づく勧告について,https://www.fsa.go.jp/sesc/news/c_2000/2000/20000621_3.html,二浪証券株式会社に対する検査結果に基づく勧告について 平成１２年６月２１日 証券取引等監視委員会 １ ．勧告の内容 四国財務局長が二浪証券株式会社（愛媛県松山市大街道、資本金１億円、非会員、役職員約４０名）を検査した結果、下記のとおり法令違反の事実が認められたので、本日、証券取引等監視委員会は、金融再生委員会及び金融監督庁長官に対して、金融再生委員会設置法第２９条第１項の規定に基づき、行政処分及びその他の適切な措置を講ずるよう勧告した。 ２ ．事実関係 ○　損失を補てんするため財産上の利益を提供する行為 二浪証券株式会社は、平成９年１１月４日、代表取締役会長等の関与により、顧客の有価証券の取引につき、当該有価証券について生じた顧客の損失の全部を補てんするため、当該代表取締役会長の資金を現金で顧客に支払う方法により、約１５万円の財産上の利益を提供した。 上記行為は、証券取引法（平成１０年法律第１０７号（平成１０年１２月１日施行）施行前のもの）第５０条の３第１項第３号に規定する「有価証券について生じた顧客の損失の全部を補てんするため、当該顧客に対し、財産上の利益を提供する行為」に該当すると認められる。 なお、上記のほか、当社の役員が有価証券取引に関し名義借り及び名義貸しを行っており、外務員の職務に関する著しく不適当な行為と認められたことから、適切な措置を講ずるよう併せて勧告した。
2000-06-21,,,ガーバンインターナショナル東京支店に対する検査結果に基づく勧告について,https://www.fsa.go.jp/sesc/news/c_2000/2000/20000621_1.html,ガーバンインターナショナル東京支店に対する 検査結果に基づく勧告について 平成１２年６月２１日 証券取引等監視委員会 １ ．勧告の内容 証券取引等監視委員会は、ガーバンインターナショナル東京支店（東京都港区西新橋、非会員、役職員約６０名、以下「ガーバン証券」という）を検査した結果、下記のとおり法令違反の事実が認められたので、本日、金融再生委員会及び金融監督庁長官に対して、金融再生委員会設置法第２９条第１項の規定に基づき、行政処分を行うよう勧告した。 ２ ．事実関係 ○　向い呑み ガーバン証券は、平成１１年１月から同年１２月までの間、多数回にわたり、多数の顧客から受託した有価証券の売買の委託注文について、自己が当該有価証券の売買の相手方となって取引を成立させた。 上記行為は、外国証券業者に関する法律第１４条第１項において準用する証券取引法第３９条に規定する「有価証券に関する同一の売買について、その本人となると同時に、その相手方の取次ぎをする者となる行為」に該当すると認められる。
2000-05-26,大万証券株式会社,,大万証券株式会社に対する検査結果に基づく勧告について,https://www.fsa.go.jp/sesc/news/c_2000/2000/20000526_2.html,大万証券株式会社に対する検査結果に基づく勧告について 平成１２年５月２６日 証券取引等監視委員会 １ ．勧告の内容 東海財務局長が大万証券株式会社（愛知県名古屋市中区栄、資本金１．５億円、名証会員、役職員約８０名）を検査した結果、下記のとおり法令違反の事実が認められたので、本日、証券取引等監視委員会は、金融再生委員会及び金融監督庁長官に対して、金融再生委員会設置法第２９条第１項の規定に基づき、行政処分及びその他の適切な措置を講ずるよう勧告した。 ２ ．事実関係 (1)　損失を補てんするため財産上の利益を提供し、及び第三者をして提供させる行為 大万証券株式会社は、代表取締役社長等の関与により、顧客の有価証券の売買につき、当該有価証券について生じた顧客の損失の一部を補てんするため、平成１１年４月１日、当社の資金を当該顧客が使用した口座に入金する方法により、約３４１万円相当の財産上の利益を提供した。 また、当該顧客の有価証券の売買につき、当該有価証券について生じた顧客の損失の一部を補てんするため、平成１１年３月３１日、他の顧客をして当該他の顧客の保有する株式を売却した代金を当該損失に充当させる方法により、約２２７万円相当の財産上の利益を提供させた。 上記行為は、証券取引法第４２条の２第１項第３号に規定する「有価証券について生じた顧客の損失の一部を補てんするため、当該顧客に対し、財産上の利益を提供し、又は第三者をして提供させる行為」に該当すると認められる。
2000-05-26,おいて準用する証券会社,,ビー・エヌ・ピー・パリバ・セキュリティーズ・（ジャパン）リミテッド東京支店に対する検査結果に基づく勧告について,https://www.fsa.go.jp/sesc/news/c_2000/2000/20000526_1.html,ビー・エヌ・ピー・パリバ・セキュリティーズ・ （ジャパン）リミテッド東京支店に対する 検査結果に基づく勧告について 平成１２年５月２６日 証券取引等監視委員会 １ ．勧告の内容 証券取引等監視委員会は、ビー・エヌ・ピー・パリバ・セキュリティーズ・（ジャパン）リミテッド東京支店（東京都中央区有楽町、東証・大証会員、役職員約２９０名、以下「ビー・エヌ・ピー・パリバ証券」という）を検査した結果、下記のとおり法令違反の事実が認められたので、本日、金融再生委員会及び金融監督庁長官に対して、金融再生委員会設置法第２９条第１項の規定に基づき、行政処分及びその他の適切な措置を講ずるよう勧告した。 ２ ．事実関係 (1)　特別の利益を提供することを約して勧誘する行為 ビー・エヌ・ピー・パリバ証券は、平成９年９月から同１０年７月までの間、商品開発部長（当時）の関与により、複数の法人顧客に対し、当該顧客の保有するほとんど無価値の償還期日直前の有価証券について、専ら顧客に生ずる損失を先送りすることを目的とした、有価証券の条件変更をさせるスキームを提示し、当該顧客が実現損を表面化させないことを可能にすることを約束して有価証券の取引の勧誘を行った。 ビー・エヌ・ピー・パリバ証券は、平成６年４月から同８年１月までの間、支店長等の関与により、顧客と投資一任契約をしている注文の発注者である投資顧問会社に対し、注文の発注の見返りに投資助言報酬の名目で金銭の支払いを行うことを約束して、有価証券の取引の勧誘を行った。 上記行為は、外国証券業者に関する法律（平成１０年法律第１０７号（平成１０年１２月１日施行）施行前のもの）第１７条第１項において準用する証券取引法（平成１０年法律第１０７号（平成１０年１２月１日施行）施行前のもの）第５０条第１項第６号に基づく外国証券業者に関する省令（平成１０年総理府令・大蔵省令第３７号（平成１０年１２月１日施行）施行前のもの）第２１条第４項において準用する証券会社の健全性の準則等に関する省令（平成１０年総理府令・大蔵省令第３３号（平成１０年１２月１日施行）施行前のもの）第２条第２号に規定する「特別の利益を提供することを約して勧誘する行為」に該当すると認められる。 (2)　取引一任勘定取引の契約の締結 ビー・エヌ・ピー・パリバ証券は、平成１１年１２月から同１２年２月にかけて、多数の顧客との間で、株式の売買の受託につき、顧客の個別の取引ごとの同意を得ないで、価格について定めることができることを内容とする契約を締結した上で、同期間、取引を受託、執行した。 上記行為は、外国証券業者に関する法律第１４条第１項において準用する証券取引法第４２条第１項第５号に規定する「取引一任勘定取引の契約を締結する行為」に該当すると認められる。
