no,stock_code,stock_name,date
98,4287,株式会社ジャストプランニング,2020/05/21-2020/06/29
99,3323,レカム株式会社,2020/06/10
100,1433,テラ株式会社,2020/04/21-2020/04/30
101,1433,テラ株式会社,2020/04/11-2020/04/20
102,1433,テラ株式会社,2020/05/21-2020/05/31
103,8848,株式会社レオパレス２１,2020/09/18-2020/09/30
104,2109,三井製糖株式会社,2020/01/20-2020/02/28
105,3662,株式会社エイチーム,2021/01/14-2021/02/19
106,5631,株式会社日本製鋼所,2022/04/15-2022/04/28
107,5631,株式会社日本製鋼所,2022/04/20-2022/05/06
108,5631,株式会社日本製鋼所,2022/05/06
109,3092,株式会社ＺＯＺＯ,2019/09/10
110,4880,セルソース株式会社,2021/12/06-2021/12/07
111,7685,株式会社ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,"2020/08/13-2020/08/28,2020/08/13"
112,9433,ＫＤＤＩ株式会社,2024/01/29-2024/02/02
113,9433,ＫＤＤＩ株式会社,"2024/03/29,2024/04/01"
114,9433,ＫＤＤＩ株式会社,"2024/03/29,2024/04/01"
115,4436,株式会社ミンカブ・ジ・インフォノイド,"2022/09/20,2022/09/21"
116,3856,Ａｂａｌａｎｃｅ株式会社,2023/01/21-2023/01/31
117,7282,豊田合成株式会社,2023/10/30-2023/10/31
118,9090,ＣＯＭ丸和ホールディングス株式会社,"2024/01/30,2024/03/14"
119,2884,株式会社ヨシムラ・フード・ホールディングス,"2023/06/12,2023/07/20,2023/06/09-2023/07/21,2023/08/18-2023/08/21"
120,1801,大成建設株式会社,"2023/03/02,2023/03/07,2023/03/06-2023/03/07,2023/03/16,2023/03/08-2023/03/14"
121,1540,信託銀行,"2022/12/21-2023/02/10,2023/10/21-2023/11/10,2024/07/21-2024/08/10"
122,2484,株式会社出前館,2020/03/11-2020/03/26
